GENE	Rhtseq	Ihtseq	Rcuff	Icuff	Rmlwl	Imlwl	Rgy	Igy	Ryn	Iyn	Rmyn	Imyn	Rma	Ima
ATP9B-1	6	3	2.02796	1.83071	0.674136	0.984564	0.728208	1.15068	0.771942	1.22428	0.783544	1.17868	0.716221	1.02358
ATPAF1-1	0	2	8.86083	9.72096	0.319241	0.761042	1.10217	0.811732	0.669631	0.667172	0.669133	0.687697	1.14804	0.776946
ATPAF2-1	1	0	5.17543	5.59293	0.258246	0.171267	0.559817	0.372799	0.373712	0.248096	0.372512	0.247844	0.47837	0.36409
ATPBD4-1	21	3	1.68474	1.52551	0.494439	0.171851	0.45083	0.141817	0.310142	0.18232	0.296438	0.17786	0.40644	0.130098
ATR-1	3	10	0.551206		0.364683	0.676539	0.261787	0.735565	0.314227	0.702259	0.326219	0.567559	0.2687	0.687714
ATRIP-1	2	0	0.974241	1.21647	1.85429	0.915905	1.96881	0.943561	1.41646	0.839668	1.41696	0.829545	1.64343	0.936988
ATRN-1	6	8	16.5267	20.1267	0.742048	1.07165	1.00482	1.38031	0.974278	1.34014	0.960028	1.27561	0.972728	1.38111
ATRNL1-1	2	2	1.12433	0.520634	0.988646	1.94717	1.17812	2.13042	1.33542	2.33981	1.31117	2.22921	1.14864	2.09129
ATRX-1	52	16	5.69279	4.77872	0.567793	0.356256	0.548232	0.324643	0.561145	0.327624	0.455079	0.335157	0.51695	0.31656
ATXN1-1	1	0	0	0.699058	NA	5.36527	34.4486	5.49684	NA	5.55511	NA	5.61735	44.688	5.50948
ATXN10-1	0	1	5.56845	6.40809	0.870149	1.35625	0.994147	1.41465	0.977508	1.58711	0.947526	1.36585	0.986889	1.30909
ATXN1L-1	135	114	8.84922	9.03339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATXN2-1	14	6	14.3275	16.9913	1.7735	2.39738	2.09368	3.11608	2.0712	2.71077	2.0924	2.69008	2.07593	2.80474
ATXN3-1	3	0	2.48395	2.17614	2.90783	0.775818	3.55375	0.879481	3.65588	1.02189	3.51858	1.159	3.40313	0.832843
ATXN7-1	2	4	3.38141	3.92392	0.879137	0.811355	0.943104	0.845076	0.961294	0.793311	1.07194	0.889874	0.96995	0.83717
ATXN7L1-1	58	20	4.67412	4.33438	0.701802	0.995734	0.801635	1.0747	0.838935	1.02921	0.761647	0.939296	0.703806	1.02791
AUH-1	11	7	17.8228	22.8392	0.139402	0.207569	0.117067	0.515995	0.103293	0.309865	0.10328	0.309858	0.117979	0.507245
AUP1-1	7	10	15.7258	13.3691	0.624648	0.754559	0.868478	0.822112	0.83556	0.79897	0.878595	0.885355	0.86623	0.813042
AURKA-1	215	266	0	0	1.84486	0.684616	2.13292	0.812594	2.3672	1.0297	2.66281	1.17688	2.17213	0.806477
AURKAIP1-1	4	0	46.9555	51.3788	0.995941	0.990948	1.15419	1.09897	1.34184	1.37355	1.21874	1.4333	1.06967	1.07093
AUTS2-1	87	98	2.0712	1.53853	0.997417	1.31676	1.14059	1.83359	1.14554	1.73444	1.04874	1.61329	1.1164	1.81841
AVD-1	1	6			0.142909	NA	0.228278	0.0310464	0.177333	NA	0.177081	NA	0.201471	NA
AVEN-1	500	373	0	0	0.61337	1.01862	1.56677	1.16403	0.9171	1.08823	0.917104	1.10713	1.60973	1.11981
AVL9-1	1	4	1.40493	1.2145	1.09277	1.47999	1.20043	1.75061	1.05837	1.49174	1.03582	1.44416	1.19317	1.74646
AVP-1	0	6	0.0150129	0.0172231	0.28901	0	50	0.001	NA	-0	NA	-0	50	0.001
AVPR1A-1	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
AVPR1B-1	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
AVPR2-1	0	0	0.0209812	0.0642682	NA	0	NA	0.001	NA	-0	NA	-0	NA	0.001
AVR2-1	2	1	0.06449		NA	NA	NA	50	NA	NA	NA	NA	NA	49.7739
AXDND1-1	0	0	0.0424599	0.0676222	NA	NA	NA	0.001	NA	NA	NA	NA	NA	NA
AXIN1-1	1	0	4.29721	4.34492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AXIN1-2	1	0	4.29721	4.34492	0.824805	1.31266	1.76638	1.48801	1.22822	1.2728	1.22831	1.11633	1.96918	1.33261
AXIN2-1	0	1	0.409877	0.365976	NA	1.85261	50	1.99195	NA	1.79737	NA	1.65591	50	1.83653
AZI1-1	22	11	3.13917	2.01686	0.634943	0.715995	0.795527	0.8869	0.577786	0.821512	0.576904	0.686236	1.03332	1.01844
AZI2-1	32	20	10.8626	12.4077	6.30242	9.16941	5.37854	8.39448	7.68601	9.35528	6.33205	8.12371	4.24551	7.05039
AZIN1-1	15	100		37.9612	1.95938	1.37583	2.21947	1.90227	1.87553	1.43756	1.56929	1.61167	2.08286	1.60768
B-G-1	844	1084	0	1.26038	1.25945	6.53143	1.44274	8.26124	1.26227	8.1632	1.09094	9.28911	1.56743	9.85378
B-G-2	844	1084	0	1.26038	0.752354	0	1.57187	0.001	1.1093	-0	1.10989	-0	1.43864	0.001
B-G-3	844	1084	0	1.26038	1.25395	1.43291	1.42939	1.51558	1.42729	1.51079	1.36019	1.49379	1.35481	1.53039
B-G-4	844	1084	0	1.26038	0.743628	0.854778	0.786041	0.871404	0.766757	0.80834	0.812044	0.866274	0.753048	0.883208
B-NK-1	92	57	0.150484	0.257609	0.626525	NA	0.561462	50	0.58285	NA	0.646479	NA	0.546564	48.1598
B2M-1	43	4			0.229907	0.0921198	0.210849	0.121436	0.162031	0.105823	0.180871	0.104738	0.194659	0.0931676
B3GALNT1-1	38681	36557	10.907	9.63433	0.875233	1.341	0.999301	1.47646	1.06584	1.51791	1.11795	1.38874	0.962578	1.32743
B3GALNT2-1	55	46	6.10649	6.28806	0.972485	0.626106	1.30382	0.806133	1.11669	0.708229	1.09337	0.650724	1.22411	0.760058
B3GALT1-1	1	0	0.427025	0.0346158	0.743933	0.690151	0.92495	0.761389	0.904227	0.872501	1.02581	0.864091	0.862384	0.737017
B3GALT2-1	21	12	0.0988165	0.0320451	0.441214	NA	1.05614	50	0.659744	NA	0.659501	NA	1.05865	50
B3GALT5-1	34	12			1.30495	NA	1.3716	NA	1.24048	NA	1.26171	NA	1.31252	NA
B3GALT6-1	0	0	0.538765	0.622807	1.24021	2.78327	1.28363	3.83815	0.863961	4.02201	0.862559	3.77768	1.43802	3.85187
B3GALTL-1	2	1	1.52797	1.41773	1.23958	2.00178	1.74939	2.36523	1.53793	2.31287	1.28932	2.0512	1.65824	2.23181
B3GAT1-1	32	37	0.311861	0.159478	1.78201	3.04755	1.92268	3.44802	1.71789	3.37319	1.85006	3.78233	2.16436	3.8915
B3GAT2-1	72	44	0.170192	0.0916634	0	0.420426	0.001	0.504727	-0	0.664041	-0	0.663608	0.001	0.534035
B3GNT2-1	0	0	0.5459	0.445902	0.955694	2.06464	0.877894	2.05118	0.589718	1.32427	0.590117	1.32323	0.918605	2.04348
B3GNT4-1	4360	4145			0.569871	0.714417	0.63652	0.787704	0.606829	0.65509	0.662272	0.564272	0.600459	0.746908
B3GNT5-1	2	2	1.4207	1.1193	0	NA	0.001	NA	-0	NA	-0	NA	0.001	NA
B3GNT6-1	0	0	0.0153949	0	NA	-nan	NA	-nan	NA	-nan	NA	-nan	NA	-nan
B3GNT7-1	6	2	0.0483308	0.0228663	0.736892	NA	0.648766	NA	0.538036	NA	0.54376	NA	0.822778	NA
B3GNT9-1	85	71	2.09838	1.7567	0.381174	0.528999	0.402042	0.572001	0.414747	0.588594	0.414739	0.693976	0.358882	0.551965
B3GNTL1-1	1463	1349	0	0	0.481518	1.06728	0.461936	1.34176	0.42386	1.32825	0.483567	1.2016	0.448703	1.26178
B3GNTL2-1	31	14	0.0769498	0.0442059	NA	NA	50	50	NA	NA	NA	NA	50	49.9178
B4GALNT3-1	9	2	1.01057	1.61373	0.946582	1.1599	1.02037	1.26195	0.996816	1.25242	1.08714	1.13473	1.0151	1.15113
B4GALNT4-1	11	2	0	0.213362	0.320544	1.07914	0.441598	6.05486	0.316324	1.60045	0.316156	1.60035	0.452192	3.4431
B4GALT1-1	69	45	1.91389	1.6741	1.393	0.418204	1.53595	0.846653	0.99564	0.614038	0.995236	0.614043	1.54438	0.924463
B4GALT2-1	27	19	27.3903	21.6052	0	0.151734	0.001	0.152749	-0	0.131534	-0	0.131516	0.001	0.140684
B4GALT3-1	2	7	4.07784	5.33931	1.09473	4.19103	1.23961	4.992	1.22249	4.09704	1.11698	4.1707	1.13402	5.73983
B4GALT4-1	36	39			1.14698	1.08202	1.30666	1.33563	1.34134	1.15434	1.27431	1.18729	1.28612	1.37103
B4GALT5-1	1	4	4.0929	3.08892	NA	0.12246	50	0.293519	NA	0.180526	NA	0.180443	50	0.193218
B4GALT6-1	0	0	0.0751723	0.13861	NA	NA	50	50	NA	NA	NA	NA	50	45.0045
B4GALT7-1	3	0	9.56809	7.92653	0	NA	0.001	0.001	-0	NA	-0	NA	0.001	NA
B9D1-1	92	59	0.901478	0.839454	0.640401	0.497646	0.711753	0.516831	0.84968	0.556789	0.945125	0.557703	0.692593	0.508979
BAALC-1	0	0	0.556158	0.0955867	1.63031	0.733798	1.94803	0.760841	1.99137	0.65259	1.69621	0.648475	1.98288	0.676961
BAAT-1	0	0	0.0690161		0.812816	NA	0.603281	50	0.570258	NA	0.566528	NA	0.647162	50
BABAM1-1	0	0	64.1052	63.4519	NA	NA	NA	50	NA	NA	NA	NA	NA	50
BACE1-1	6	7	4.74071	4.69885	1.45957	1.45745	1.60468	2.69379	1.51895	2.02671	1.53574	2.0258	1.68656	2.716
BACE2-1	7	0	0.618009	0.35031	0.907913	0.556494	1.1962	0.682449	1.0903	0.65403	1.08823	0.773662	1.08206	0.673366
BACH1-1	6	0	3.25504	2.34678	0.494251	0.266606	0.430674	0.142962	0.527285	0.240094	0.46653	0.256325	0.396755	0.187733
BACH2-1	31	27	2.89284	2.60923	0.45158	0.793131	0.638172	0.807638	0.583159	0.534771	0.609758	0.534722	0.638104	0.780843
BAG1-1	2	0	5.35436	5.01201	0.738137	4.04311	0.71256	4.30996	0.668794	3.86292	0.736164	4.35912	0.722084	4.67625
BAG2-1	39	26	170.923	132.134	1.73567	0.845673	2.30055	0.899119	2.16887	0.841304	2.21895	0.818234	2.2985	0.89206
BAG3-1	499	228	223.715	183.935	0.509308	0.7694	0.477817	0.835995	0.493879	0.798773	0.443574	0.785543	0.500649	0.831396
BAG4-1	30	9	9.31264	9.0562	0.832216	0.455853	0.816662	0.425859	0.798054	0.399232	0.7991	0.399155	0.767244	0.410067
BAG5-1	0	2	2.51725	2.80457	NA	1.23591	50	1.08746	NA	0.83676	NA	0.836228	48.9871	1.08418
BAHCC1-1	66	18		1.02282	1.19848	0.854605	1.83663	1.17519	1.70962	1.18434	1.70923	1.25435	1.88655	1.21104
BAHD1-1	2	2	2.91009	2.30865	NA	NA	50	28.118	NA	NA	NA	NA	49.8514	23.8974
BAI1-1	14	11	0.428475	0.210034	0.554857	0.620085	0.59071	0.648007	0.512894	0.547157	0.5496	0.528718	0.551182	0.589908
BAI2-1	0	0	0.0272342	0.023485	0	0	0.001	0.001	-0	-0	-0	-0	0.001	0.001
BAI3-1	5	1	0.00634785	0.0116775	NA	NA	NA	0.001	NA	NA	NA	NA	NA	NA
BAIAP2-1	37	15	0.845508	0.321623	0.866087	0.131823	1.17223	0.139329	1.05631	0.117905	1.01148	0.117864	1.06164	0.13027
BAIAP2L1-1	72	130	1.53699	1.36194	1.32014	0.659448	1.40137	0.69314	1.34818	0.722048	1.33871	0.733942	1.36761	0.659139
BAIAP2L2-1	0	0	0.313051	0.242342	0.784158	0.252514	0.902536	0.77393	0.736298	0.552373	0.734956	0.552213	0.670793	0.779808
BAK1-1	6	0	3.87704	2.1476	NA	1.89394	21.8219	2.0624	NA	1.92398	NA	1.82157	33.886	1.97423
BAMBI-1	0	0	0.657359	0.276847	0	NA	0.001	0.001	-0	NA	-0	NA	0.001	NA
BANF1-1	94	44	125.101	89.8436	0.485383	0.486672	0.556679	0.558914	0.541711	0.544061	0.537428	0.539719	0.545481	0.547526
BANK1-1	5	4	0.249965	0.168609	0.514056	0.436967	0.571996	0.537717	0.377676	0.523877	0.363999	0.487847	0.567224	0.482678
BANP-1	3	0	1.60665	1.91423	1.52653	5.26648	2.83082	50	3.01656	NA	3.26853	NA	2.8153	50
BAP1-1	19	4	6.00463	7.01229	1.04831	0.931352	1.62265	1.16527	1.5354	1.02727	1.56567	0.981175	1.67207	1.13465
BARD1-1	0	0	0.158163	0.303241	NA	0.377039	50	0.378919	NA	0.395283	NA	0.330066	49.9608	0.292852
BARHL1-1	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
BARX1-1	0	0	0	0	0.231401	NA	50	NA	NA	NA	NA	NA	50	NA
BARX2-1	1	0	1.21585	0.334397	0.686245	NA	0.711081	50	0.527264	NA	0.525586	NA	0.637842	50
BASP1-1	6	0	6.50992	3.63125	0	0	0.001	0.001	-0	-0	-0	-0	0.001	0.001
BATF-1	7	0			6.84388	0.607428	7.11873	0.731953	6.76382	0.665298	6.93181	0.685839	7.18638	0.728157
BATF3-1	0	0	0.809127	0.971991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BAZ1A-1	101	89	3.14878	2.27515	0.593622	0.3408	0.576044	0.329825	0.545235	0.349923	0.489358	0.406793	0.577267	0.296642
BAZ1B-1	62	20	6.77428	5.99547	0.652312	0.952767	0.93883	1.13696	0.84302	1.13391	0.863979	1.27858	0.911933	1.05066
BAZ2B-1	329	242	3.33083	3.07194	2.38418	0.993255	2.51565	1.19327	2.25235	1.0216	2.26616	1.12563	2.44698	1.20041
BBOX1-1	70	55	10.7231	9.24371	0.684179	NA	1.59032	50	1.01606	NA	1.01599	NA	1.59101	49.1405
BBS10-1	0	0	0.755032	0.780848	0.270648	NA	0.556272	50	0.389012	NA	0.388182	NA	0.521881	50
BBS12-1	1	0	0.245897	0.306614	0.738298	0.420443	0.824019	0.442461	0.835074	0.404052	0.833533	0.434012	0.822057	0.45467
BBS2-1	7	15	1.99794	1.39196	0.99914	1.1014	1.06494	1.27181	1.09486	1.13811	1.10488	1.14503	1.06889	1.31102
BBS4-1	15	3	0.633338	0.34924	0.875209	1.00481	1.33361	1.1079	1.17147	0.818782	1.15075	0.817068	1.31088	1.07583
BBS5-1	65	47			0.869201	0.508225	1.15446	0.469576	1.00156	0.316222	1.14423	0.307968	1.09894	0.471326
BBS7-1	196	209	1.64657	1.63493	0.627412	1.04318	0.685487	1.06939	0.671903	1.12186	0.720278	1.2298	0.685414	1.11388
BBS9-1	0	0	0.515796	0.586557	1.56558	1.26142	2.18361	1.40866	2.56478	1.4897	2.59144	1.46664	1.95474	1.37356
BBX-1	5	4	1.53264	1.86964	0.911738	3.54258	1.28399	4.22757	1.16532	3.79995	0.961534	3.5961	1.22589	3.70076
BCAN-1	0	0	0.126359	0.0212316	1.87462	0.15054	1.90688	0.274183	1.81223	0.208339	1.72442	0.208298	1.86179	0.272222
BCAP29-1	11	4	22.1234	17.228	0.423575	1.38154	0.414338	2.36643	0.32443	1.82337	0.324395	1.73389	0.359476	2.17319
BCAP31-1	207	211	11.2873	8.35789	NA	NA	22.9688	50	NA	NA	NA	NA	41.5608	50
BCAR1-1	21	2	2.91894	2.14208	0.39313	2.53023	0.474148	2.68261	0.504977	2.76292	0.505194	2.49052	0.483227	2.62867
BCAR3-1	158	145	3.73213		0.737369	0.782193	0.790531	0.779364	0.864656	0.832397	1.01637	0.930445	0.795862	0.788448
BCAS1-1	0	2	0.608188	0.183486	0.364849	0.056304	0.351476	0.132601	0.291527	0.0835459	0.245961	0.0835144	0.337657	0.135335
BCAS2-1	2	3			0	0.782861	0.001	2.83778	-0	1.90321	-0	1.90213	0.001	2.52211
BCAS3-1	51	72	6.74312	7.5006	1.1069	1.33674	1.16407	1.49071	1.13684	1.44548	1.05298	1.45842	1.10648	1.49311
BCAT1-1	29	1	17.3648	13.5561	1.65798	1.10056	1.53399	1.11289	1.65485	1.03074	1.53942	0.887905	1.72936	1.0922
BCCIP-1	2	0	25.2801	24.9211	0.217087	0.216999	50	50	NA	NA	NA	NA	50	50
BCDIN3D-1	0	0	1.07342	1.10241	0.127518	0.587777	0.261036	0.601785	0.186223	0.526043	0.186172	0.516683	0.249697	0.552928
BCHE-1	2	0	6.84365	1.29084	0.638379	NA	0.605998	50	0.541249	NA	0.609085	NA	0.5852	49.9606
BCKDHB-1	0	2	23.9519	31.7604	1.67509	0.933637	2.35286	1.09674	2.19929	1.07692	2.11741	1.07292	2.27284	1.06472
BCL10-1	0	0	2.31241	2.18226	0.480489	0.463893	0.50509	1.13149	0.43144	0.690412	0.431006	0.689883	0.488557	1.07833
BCL11A-1	1	0	0.0856689	0.0709765	0.24588	NA	0.199219	NA	0.360657	NA	0.360657	NA	0.232205	NA
BCL11B-1	0	0	0.0278408	0.02782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCL2-1	9	7	1.54293	1.08699	0.584908	0.427825	1.34131	0.313796	0.869738	0.348108	0.869733	0.347768	1.33817	0.287148
BCL2A1-1	3	0	1.45979	0.713136	NA	NA	50	0.001	NA	NA	NA	NA	50	NA
BCL2L1-1	8	8	4.69832	4.50294	1.03348	0.521343	1.08611	0.545183	0.838525	0.494165	0.838345	0.528822	1.06927	0.548288
BCL2L13-1	121	90	32.2868	28.7965	0.855712	2.17827	0.773407	2.34383	0.859535	2.2521	0.748013	1.99251	0.753923	2.23591
BCL2L14-1	2	1	0.117498	0.0213021	0.112892	0.292858	0.261863	0.32096	0.165515	0.360382	0.16549	0.355754	0.250197	0.291536
BCL2L15-1	0	0	0.469661	0.507415	0.197352	NA	0.203382	50	0.188148	NA	0.188195	NA	0.195993	50
BCL6-1	45	14	6.15331	2.65703	3.25227	2.19714	3.52855	2.27127	3.73354	2.28359	3.61693	2.22108	3.44342	2.70039
BCL7A-1	11	13	1.81451	1.46225	2.39065	1.08449	2.50214	1.18216	2.25965	1.05492	1.97922	0.837132	2.23093	1.30969
BCL7B-1	6	2	10.5344	10.1319	NA	NA	50	NA	NA	NA	NA	NA	50	NA
BCL9-1	5	6	1.97899	2.20399	1.24151	0.648726	50	1.33982	NA	1.28108	NA	1.27755	43.6505	1.28345
BCL9L-1	390	290	3.17631	2.93074	1.4083	0.432906	1.88197	0.486145	1.57246	0.490845	1.59613	0.474779	2.1565	0.500951
BCLAF1-1	11	6	9.38356	7.08227	0.647837	0.669331	0.645464	0.560065	0.683949	0.615904	0.674388	0.615813	0.612895	0.556969
BCMO1-1	2	0	2.29635	2.79868	0.303556	0.440734	0.281507	0.999566	0.318447	0.637571	0.318247	0.637735	0.251845	0.86675
BCO2-1	1	0	0.0816984	0.0402838	0.234279	NA	0.512761	50	0.344307	NA	0.343139	NA	0.472303	43.9885
BCOR-1	1	0	2.76198	1.60365	0.836581	0.484689	0.876209	0.719281	0.891087	0.576321	0.697195	0.590614	0.829074	0.704339
BCORL1-1	6	2	0.966161	1.13886	0.283561	0.534802	50	0.821159	NA	0.781551	NA	0.756255	50	0.846734
BCR-1	7	6	0.980953	0.694411	1.2291	0.770757	1.40301	0.788457	1.39453	0.798733	1.20856	0.77058	1.2351	0.780546
BCS1L-1	3	5	2.55518	3.19031	0.133919	NA	0.288132	50	0.197253	NA	0.197018	NA	0.335987	50
BDH1-1	9	16	29.8867	64.9238	0.567701	0.622336	0.577734	0.637782	0.548558	0.572725	0.509048	0.542409	0.56248	0.625919
BDH2-1	17	9			0.801435	0.213783	0.821324	0.497784	0.791153	0.306787	0.871423	0.306691	0.824123	0.54669
BDKRB1-1	18	2	0.877918	0.751059	0	0.0998787	0.001	0.0984937	-0	0.120293	-0	0.117918	0.001	0.100658
BDKRB2-1	5	0	0.200752	0.0931354	0	0	0.001	0.001	-0	-0	-0	-0	0.001	0.001
BDNF-1	0	0	0.0887167	0.0339529	NA	NA	NA	50	NA	NA	NA	NA	NA	50
BEAN1-1	15	11	5.7535	4.49675	0.913114	1.07111	0.982252	1.25739	0.971472	1.12651	1.01702	1.04986	0.954545	1.19299
BECN1-1	14	8	24.0143	23.2636	NA	NA	50	NA	NA	NA	NA	NA	50	NA
BEGAIN-1	213	228	0.585554	1.78036	2.70131	2.3771	2.34401	4.14619	3.37398	3.92357	3.47074	4.00851	2.31624	4.24111
BEND2-1	1	1	0.60962	0.504805	0.623313	0.850007	0.663106	0.9179	0.654843	0.976806	0.647252	0.965156	0.604208	0.89217
BEND3-1	11	12		4.63201	1.58083	2.13894	1.66881	2.28515	1.50306	2.19991	1.42796	2.24752	1.60689	2.27904
BEND4-1	4	1	0.0259005	0.0993564	NA	NA	50	50	NA	NA	NA	NA	44.8344	48.0245
BEND5-1	0	0	15.8445	17.3515	0.437363	2.67268	1.01321	2.80654	0.630105	2.44894	0.630105	2.51657	1.04139	2.8451
BEND6-1	0	4	1.65368	1.03639	1.699	0.833561	1.94285	0.732023	1.92977	0.742982	1.89055	0.641267	1.89879	0.689388
BEND7-1	16	4	9.8962	9.77185	0.724864	0.5568	0.846163	0.563455	0.925446	0.717463	0.926594	0.724931	0.814281	0.584947
BEST1-1	10092	5465	0	0	1.21479	NA	1.33001	50	1.20466	NA	1.22332	NA	1.42355	50
BEST3-1	2	2	6.55028	7.20199	1.03691	0.706175	1.28714	0.846443	1.25786	0.790251	1.19477	0.718698	1.26709	0.820257
BEST4-1	7	3	0.0711208	0.0408601	0.775875	NA	0.863278	50	0.792206	NA	0.790244	NA	0.880753	50
BET1-1	35	24	3.59839	3.69541	NA	0.495829	NA	0.753288	NA	0.461806	NA	0.461307	NA	0.742968
BET1L-1	3	4	7.97267	7.8491	0.30894	NA	0.324259	50	0.239743	NA	0.239222	NA	0.295693	45.7896
BET3L-1	908	954	0	0.0297926	0.849353	1.27987	0.879419	1.60976	0.796307	1.58234	0.892272	1.41209	0.879773	1.51762
BETA3-1	0	1	0.0272286	0.0312435	0.291123	NA	0.293632	NA	0.30312	NA	0.307292	NA	0.290905	NA
BF1-1	197	133	273.32	228.722	0	0.492881	0.001	0.491698	-0	0.473681	-0	0.449817	0.001	0.491978
BF2-1	75	19	144.326	59.181	NA	1.18401	50	1.55389	NA	1.35683	NA	1.27486	50	1.58385
BFAR-1	4	2	2.88408	2.19704	1.20602	0.507934	1.10407	0.460311	1.0929	0.432349	1.15207	0.406762	1.09942	0.448034
BFSP1-1	8	0		3.26327	0.467431	0.208967	0.4916	0.151967	0.532095	0.224089	0.491782	0.222916	0.445465	0.169142
BFSP2-1	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
BG2-1	178	218	0.432946	0.347847	0.794094	0.826938	0.862556	0.966566	0.889072	0.890171	0.890576	0.871137	0.852451	0.947456
BHLHA15-1	7535	8496			1.61345	0.848568	1.70772	0.810735	1.78704	0.827131	1.76236	0.859972	1.71037	0.835769
BHLHE23-1	0	0	0.00336715	0.0116134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BHLHE40-1	29	10	17.5028	21.6696	0.247606	1.06883	0.223875	1.18496	0.193595	1.15396	0.192252	1.14649	0.228515	1.01636
BHLHE41-1	29	17	0.657567	0.372962	NA	NA	50	50	NA	NA	NA	NA	49.8643	50
BHMT-1	49	19	195.692	271.521	0.738893	1.04906	0.743689	1.17593	0.638988	1.11906	0.636324	1.23782	0.636294	1.06844
BICC1-1	2	2	2.33812	0.781599	1.14418	4.61788	1.15295	5.24528	1.04798	4.68989	1.04041	4.76481	1.13716	5.16602
BICD1-1	4	2	0.526654	0.420092	1.14156	0.871911	1.25205	0.841057	1.23882	0.748979	1.1921	0.81787	1.18532	0.787398
BICD2-1	100	39	46.8518	54.8976	0.738163	0.669665	0.874571	0.700583	0.904124	0.593338	0.887049	0.530813	0.87189	0.627849
BID-1	33	5	7.16787	5.51716	1.22833	0.772027	1.28962	0.846612	1.15188	0.716208	0.996011	0.71339	1.05793	0.751393
BIK-1	6	11	0.176234	0.0704046	0.252369	0.678565	0.410568	0.689479	0.337728	0.60043	0.337662	0.616375	0.373901	0.689232
BIN1-1	9448	3334	158.713	140.462	0.699452	0.877625	0.850669	1.08552	0.85781	1.01164	0.811101	1.01716	0.806063	1.08183
BIN2-1	0	0	0.732191	0.341528	0.815322	1.05704	1.40382	2.21612	1.13721	1.76549	1.19382	1.84065	1.3425	2.12154
BIRC2-1	20	5	19.4279	16.0903	0.552787	0.825379	0.678492	0.967732	0.66975	0.887501	0.614454	0.912497	0.645659	0.960655
BIRC5-1	0	0	1.11824	1.41981	NA	NA	NA	50	NA	NA	NA	NA	NA	50
BIRC6-1	5	4	2.98402	5.37913	0.795787	1.10843	1.11474	1.49661	0.939764	1.42563	0.87466	1.14633	1.08855	1.23416
BIRC7-1	1432	1202	0	0	1.47956	0.706968	1.49735	0.6695	1.5009	0.682674	1.59738	0.627971	1.49238	0.650045
BIVM-1	6	0	8.6122	10.526	1.83515	0.923197	1.90396	1.23566	1.69658	1.21721	1.89246	0.906392	1.81507	1.08308
BKJ-1	4	0	0.0380016	0.00872942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLA-1	5	1	13.6865	7.78473	NA	0	NA	0.001	NA	-0	NA	-0	NA	0.001
BLB2-1	11	2	28.796		NA	0	50	0.001	NA	-0	NA	-0	45.9568	0.001
BLB3-1	4	1	0.056362	0.102672	NA	NA	50	0.001	NA	NA	NA	NA	50	NA
BLCAP-1	19	17	201.201	241.942	0.884787	0.488207	1.07796	0.569091	1.19977	0.65189	1.15529	0.537089	1.02398	0.532804
BLK-1	0	0	0.444092	0.414226	1.00157	NA	1.03955	50	0.717174	NA	0.71713	NA	0.998933	50
BLM-1	9	1	0.549374	0.511183	2.43438	1.08337	6.09425	1.74204	5.11349	1.61773	5.91293	1.62838	7.33644	1.75982
BLMH-1	25	7	44.2678	42.7768	0.521419	0.165242	0.544148	0.156279	0.599623	0.111968	0.569798	0.111591	0.527972	0.148185
BLNK-1	12	4	0.927192	0.699622	1.00933	0.303827	1.00693	1.05838	0.655	0.650692	0.654844	0.650637	1.01881	1.06731
BLOC1S2-1	0	0	13.7741	8.63065	0.230318	1.29704	0.542826	1.35599	0.341578	1.20098	0.341112	1.23724	0.536387	1.20756
BLOC1S3-1	8	0	15.6515	21.9471	NA	0.81574	50	0.980812	NA	0.859453	NA	0.850371	50	0.913282
BLOC1S5-1	13	2			0.90653	1.4129	0.841385	2.05121	0.821506	1.87489	0.744661	1.77928	0.860213	2.01631
BLVRA-1	0	0	1.36654	1.92313	0.301287	1.50638	0.199762	1.30266	0.322339	1.52529	0.322302	1.57233	0.219756	1.29134
BLZF1-1	22	15	11.4894	14.2371	0.804066	0.933219	0.857285	0.91671	0.819388	0.892433	0.816154	0.802616	0.788233	0.890103
BMA1-1	3	0	6.31766	2.7574	0.766696	NA	0.960564	50	0.804163	NA	0.802963	NA	0.974856	50
BMA2-1	2	0	2.79689	2.12461	1.43196	1.59808	3.12842	3.46145	2.14039	3.06449	2.14141	3.04981	3.25941	3.44099
BMF-1	0	0	2.78188	3.22981	0.651865	0.646711	0.683357	0.693169	0.610181	0.64104	0.644313	0.684113	0.630667	0.687307
BMI1-1	2	4	8.26002	7.83386	0.582465	NA	0.759199	5.28553	0.827389	NA	0.824356	NA	0.746577	34.7597
BMP10-1	1	1	0	0.00329065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BMP15-1	100	135	0.106338	0.214092	0.855211	0.826954	50	1.74259	NA	1.58669	NA	1.58682	50	1.61977
BMP2-1	0	0	0.286177	0.278671	0	NA	0.001	50	-0	NA	-0	NA	0.001	50
