GENE	ROSS-htseq	ILLINOIS-htseq	ROSS-cuff	ILLINOIS-cuff	ROSS-mlwl	ILLINOIS-mlwl	ROSS-gy	ILLINOIS-gy	ROSS-yn	ILLINOIS-yn	ROSS-myn	ILLINOIS-myn	ROSS-ma	ILLINOIS-ma		AVG-ROSS	AVG-ILLINOIS	SD-ROSS	SD-ILLINOIS	0	#VALUE!	#VALUE!	NO	0
SDPR-1	35	28	28.0408	16.9782	0.0769604	1.38206	0.171271	7.42896	0.112671	2.02508	0.112612	2.02439	0.158493	4.89986		0.12640148	3.55207	0.038295678	2.560335037	1	1	1	YES	1
SECISBP2L-1	13	3	4.44838	4.19004	0.939013	3.71566	1.17973	5.85748	1.01949	5.70488	0.830499	5.23503	0.950967	5.30171		0.9839398	5.162952	0.128692775	0.850758229	1	1	1	YES	1
SEPN1-1	5	2	7.20315	5.62592	0.312301	0.748035	0.337651	10.1651	0.333683	2.59787	0.303237	2.59913	0.299644	5.94939		0.3173032	4.411905	0.01744318	3.72370556	1	1	1	YES	1
SF3A2-1	6	4	21.6831	15.8915	0.339407	0.74989	0.468021	6.93266	0.361581	1.81728	0.363631	1.81669	0.44265	4.21682		0.395058	3.106668	0.056555277	2.487549972	1	1	1	YES	1
SH3GL1-1	11	6	5.38938	4.84702	0.698717	3.70665	0.798787	4.40656	0.876165	4.45894	0.809493	4.38761	0.809433	4.35972		0.798519	4.263896	0.063696461	0.313610298	1	1	1	YES	1
SLC33A1-1	3	3	1.98961	2.07826	0.468086	2.40317	0.551668	4.92485	0.710482	2.39109	0.709972	2.65532	0.550917	3.60317		0.598225	3.19552	0.107739021	1.086681066	1	1	1	YES	1
SMEK1-1	13	11	9.22213	9.42938	0.31689	3.48268	0.771854	3.58496	0.467678	3.62809	0.467498	3.70896	0.858375	3.52841		0.576459	3.58662	0.22843911	0.087865693	1	1	1	YES	1
SMYD2-1	52	15	14.4781	12.5461	0.718296	1.80654	0.737536	4.36641	0.464215	3.81627	0.464062	3.97066	0.730259	4.46091		0.6228736	3.684158	0.145067398	1.083258717	1	1	1	YES	1
SNX6-1	12	6	20.9143	21.5302	0.592086	1.99744	0.737774	5.79619	0.611258	2.89707	0.604009	2.79506	0.640426	4.50993		0.6371106	3.599138	0.059024146	1.529824904	1	1	1	YES	1
SORD-1	3	4	18.2016	12.0611	3.26199	0.686298	3.60256	0.726556	3.33016	0.809422	3.10467	0.787329	3.43176	0.69182		3.346228	0.740285	0.186229902	0.055778581	1	1	1	YES	1
SORL1-1	1	3	0.0977583	0.11073	0.794905	3.49432	1.1165	6.48635	0.749404	3.41516	0.749574	3.959	1.29996	4.54187		0.9420686	4.37934	0.252162404	1.260505487	1	1	1	YES	1
SSR1-1	9	2	72.1994	68.2368	0.600854	2.8389	0.795414	3.53667	0.667216	4.06987	0.718454	3.59764	0.790747	3.16472		0.714537	3.44156	0.082957064	0.4658379	1	1	1	YES	1
ST8SIA2-1	5	4	14.0397	27.01	3.60835	0.523369	3.99804	0.583255	3.66842	0.611178	3.19011	0.545891	3.90528	0.559281		3.67404	0.5645948	0.315032912	0.033896286	1	1	1	YES	1
STX7-1	14	10	17.8511	14.8679	0.942012	4.03384	0.822547	4.50532	0.952397	5.65929	1.1308	5.87471	0.946312	4.38136		0.9588136	4.890904	0.110258406	0.821760321	1	1	1	YES	1
TACR2-1	26079	26597	16.59	20.2363	2.63839	0.247305	3.09297	0.566911	2.90671	0.365064	3.16065	0.364737	3.20897	0.469446		3.001538	0.4026926	0.233223762	0.120856883	1	1	1	YES	1
TADA2A-1	14	22	5.29803	4.8834	0.736938	3.53237	0.901115	3.57989	0.884584	2.52642	0.893109	2.52564	0.92245	3.53625		0.8676392	3.140114	0.07440345	0.56088993	1	1	1	YES	1
TET1-1	25	9	2.54467	2.54913	5.20257	0.714062	5.45731	0.689071	4.98584	0.697722	4.2267	0.746675	4.84722	0.676477		4.943928	0.7048014	0.462596428	0.027106236	1	1	1	YES	1
TFAM-1	22	5	15.6967	14.1963	3.0348	0.377781	3.27097	0.371306	3.29615	0.393886	3.78669	0.378403	3.60529	0.366442		3.39878	0.3775636	0.296846047	0.010368463	1	1	1	YES	1
TFCP2-1	5	2	6.99951	6.74261	2.3973	0.568309	6.58996	1.21275	2.49865	0.836749	2.45876	0.836622	5.13536	0.872686		3.816006	0.8654232	1.938155439	0.229465259	1	1	1	YES	1
TMEM11-1	2	5	14.4302	16.4775	2.93226	0.628852	3.32104	0.738462	3.44852	0.663183	3.46746	0.618195	3.08321	0.722524		3.250498	0.6742432	0.234798901	0.054265965	1	1	1	YES	1
TNKS-1	4	4	9.38433	10.4555	3.53965	0.53358	3.87705	0.667093	3.77286	0.624797	3.60074	0.655961	3.87906	0.624782		3.733872	0.6212426	0.156960086	0.052482185	1	1	1	YES	1
TRAK2-1	5106	5831	3.81838	3.47357	4.67529	0.895988	4.64848	0.934849	4.29395	1.15026	5.04123	0.949762	5.0838	0.9363		4.74855	0.9734318	0.324074196	0.100863047	1	1	1	YES	1
TRBV6-5-1	7	3	5.65361	3.68879	0.368067	2.8861	0.459753	3.35826	0.478115	3.43402	0.45809	3.43322	0.431848	3.35591		0.4391746	3.293502	0.043033671	0.230938939	1	1	1	YES	1
TRIM25-1	57	112	2.76607	1.20513	0.281301	2.4246	0.73241	2.95418	0.435079	2.47723	0.434383	2.73117	0.862798	4.60892		0.5491942	3.03922	0.239732158	0.90272853	1	1	1	YES	1
TTC1-1	81	62	29.8888	26.3583	2.50121	0.999542	3.72651	1.01181	2.93963	0.935156	2.79981	0.942564	3.57267	1.03953		3.107966	0.9857204	0.522014478	0.045239392	1	1	1	YES	1
UNC45B-1	279	149	66.2407	100.752	6.04611	0.901818	6.7676	0.970089	7.15274	0.997202	6.8987	0.97165	6.51076	0.964593		6.675182	0.9610704	0.421108419	0.035433075	1	1	1	YES	1
VLDLR-1	21	10	25.6765	33.1441	2.55221	0.487063	6.20992	0.599301	3.84937	0.442233	4.86055	0.459113	5.59842	0.599769		4.614094	0.5174958	1.450212681	0.076583559	1	1	1	YES	1
VPS4A-1	251	151	34.1476	35.2356	0.588627	4.13842	0.878004	3.46272	0.750997	3.45838	0.749965	3.29791	0.891472	3.4149		0.771813	3.554466	0.122538317	0.33314853	1	1	1	YES	1
VPS8-1	2	2	20.1272	15.2383	0.508513	1.31241	0.658787	6.96614	0.551021	4.28344	0.574644	4.28358	0.632691	7.061		0.5851312	4.781314	0.060891188	2.371673751	1	1	1	YES	1
VTN-1	15	7	1.06964	0.0431021	0.904285	0	8.52008	0.001	2.2482	0	2.24875	0	4.0194	0.001		3.588143	0.0004	2.970795339	0.000547723	1	1	1	YES	1
ZBTB10-1	7	2	3.0029	2.78775	4.68426	0.937844	5.6915	1.04159	4.55118	1.03271	4.90044	0.936938	6.08847	0.979855		5.18317	0.9857874	0.67197959	0.050089139	1	1	1	YES	1
ZDHHC8-1	19	2	1.25913	1.20227	0.472785	2.71739	0.497986	3.18107	0.534634	3.20237	0.640746	3.12973	0.534234	3.13109		0.536077	3.07233	0.064066138	0.200913346	1	1	1	YES	1
ZNF295-1	9	6	1.33163	1.18139	4.10763	0.110377	4.33961	0.282362	4.14526	0.246903	4.5469	0.244586	5.52961	0.239933		4.533802	0.2248322	0.583545869	0.066172195	1	1	1	YES	1
ZNF704-1	7	4	2.98011	2.38082	2.5054	0.541572	3.29096	0.628948	3.30495	0.57288	3.03609	0.562705	3.26956	0.630362		3.081392	0.5872934	0.34026577	0.040288931	1	1	1	YES	1
