GENE	ROSS-htseq	ILLINOIS-htseq	ROSS-cuff	ILLINOIS-cuff		ROSS-mlwl	ILLINOIS-mlwl	ROSS-gy	ILLINOIS-gy	ROSS-yn	ILLINOIS-yn	ROSS-myn	ILLINOIS-myn	ROSS-ma	ILLINOIS-ma		AVG-ROSS	AVG-ILLINOIS		Positive selection
PDIA6-1	31	13	25.1799	24.8456		4.1633	0.143084	4.65867	0.139366	4.57056	0.117997	5.36916	0.117965	4.78045	0.124455		4.708428	0.1285734		ross
PGM2-1	195	161	1.86444	1.36633		2.94206	0.456956	5.14649	0.407866	3.50708	0.392162	3.32111	0.382937	4.60492	0.412444		3.904332	0.410473		ross
PID1-1	4	1	1.28898	1.02688		2.45921	0.227927	2.86576	0.544839	3.15856	0.337525	3.57982	0.337514	3.01944	0.49486		3.016558	0.388533		ross
PIK3C2G-1	92	65	0	0		2.65184	0.360235	3.03885	0.365509	2.8952	0.387738	2.62447	0.470418	2.98072	0.361942		2.838216	0.3891684		ross
PIK3IP1-1	29	24	23.6795	14.2954		1.00337	0.146154	5.25626	0.141241	1.47362	0.120981	1.47348	0.121323	3.3883	0.127923		2.519006	0.1315244		ross
PLA1A-1	1959	3433	0	0		2.31772	0.284513	2.54928	0.215995	2.38135	0.335018	2.46831	0.29798	2.53783	0.30335		2.450898	0.2873712		ross
PPP1R36-1	145	37	0	0.12188		3.01995	0.165085	3.2932	0.37837	3.24528	0.249837	2.894	0.249296	3.26382	0.391973		3.14325	0.2869122		ross
PRDM16-1	231	144	0.315597	0.47912		1.63765	0.399057	3.63137	0.441041	3.5912	0.468361	3.65721	0.474731	3.51752	0.42366		3.20699	0.44137		ross
PRKG1-1	13	8	1.51457	1.11989		2.92437	0.112882	3.06782	0.268922	2.7951	0.16805	2.93628	0.168049	3.13017	0.244021		2.970748	0.1923848		ross
PWP2-1	16	9	2.37169	2.36068		2.10614	0.488227	2.28317	0.503189	2.15488	0.482994	1.92317	0.471101	2.23057	0.43692		2.139586	0.4764862		ross
PYCRL-1	0	0	1.49128	1.66303		2.08511	0.337584	4.24669	0.420475	2.88539	0.407782	2.88193	0.407276	4.31934	0.412993		3.283692	0.397222		ross
RUNX3-1	0	0	0.119094	0.0259659		3.29742	0.358268	3.61618	0.39312	3.74038	0.416162	3.84464	0.416312	3.52366	0.372538		3.604456	0.39128		ross
SCNN1B-1	2	3	0.12946	0.0467301		1.82458	0.31745	3.66598	0.342343	2.72539	0.357448	2.72445	0.355666	3.6648	0.330397		2.92104	0.3406608		ross
SGK223-1	0	0	0.155965	0.177885		2.22308	0.48121	3.78861	0.494209	3.42401	0.364923	3.49876	0.364438	3.75304	0.446421		3.3375	0.4302402		ross
SLC2A5-1	0	0	0.269568	0.527859		1.27693	0.250566	7.78802	0.588672	1.89986	0.374963	1.8986	0.375013	4.85472	0.605707		3.543626	0.4389842		ross
SLC7A4-1	0	0	0.0660575	0.0442999		1.80582	0.455607	3.1148	0.497516	3.02922	0.449019	2.78172	0.440712	3.00014	0.449931		2.74634	0.458557		ross
SMAD9-1	55	37	1.41037	1.54613		1.40818	0.350855	2.15321	0.287554	2.24223	0.428744	2.20297	0.397741	2.04622	0.359467		2.010562	0.3648722		ross
SMG5-1	16	3	2.32695	3.46137		2.42364	0.533533	2.6338	0.52496	2.35965	0.480937	2.2624	0.43264	2.75391	0.520384		2.48668	0.4984908		ross
SMO-1	14	0	16.3545	16.982		0.41302	0.0415738	4.26523	0.0938695	1.56709	0.0921778	1.56698	0.0823908	3.96897	0.0912872		2.356258	0.08025982		ross
SOX10-1	13	0	0.0790899	0.147016		4.69859	0.475756	5.03764	0.48962	4.73939	0.435229	4.29601	0.426391	4.82035	0.483776		4.718396	0.4621544		ross
TACR2-1	26079	26597	16.59	20.2363		2.63839	0.247305	3.09297	0.566911	2.90671	0.365064	3.16065	0.364737	3.20897	0.469446		3.001538	0.4026926		ross
TBXA2R-1	0	0	0.204853	0.135498		2.11522	0.355889	2.58734	0.560791	2.65755	0.491823	2.45784	0.48993	2.51163	0.538684		2.465916	0.4874234		ross
TFAM-1	22	5	15.6967	14.1963		3.0348	0.377781	3.27097	0.371306	3.29615	0.393886	3.78669	0.378403	3.60529	0.366442		3.39878	0.3775636		ross
TMEM80-1	20	6	3.46627	2.92138		1.20002	0.239773	2.61783	0.522102	2.13146	0.352452	2.12887	0.352508	2.50099	0.485004		2.115834	0.3903678		ross
TMPRSS5-1	288	208	0.279417	0		1.31724	0.310271	2.59609	0.35908	2.70024	0.372751	2.62103	0.363019	2.46903	0.396803		2.340726	0.3603848		ross
TP53BP2-1	10	0	5.99535	4.34086		3.01525	0.435671	3.92111	0.404552	4.22911	0.43202	3.68764	0.46791	3.49411	0.378597		3.669444	0.42375		ross
TSEN2-1	30	17	0	0		2.12958	0.393762	2.15352	0.412701	2.134	0.498927	1.89546	0.498771	2.08135	0.408515		2.078782	0.4425352		ross
URI1-1	6	2	16.8119	18.3874		1.75907	0.47714	2.43891	0.440482	2.00922	0.567172	2.01442	0.558177	2.54762	0.4061		2.153848	0.4898142		ross
USP10-1	8	6		24.7069		1.96992	0.491317	2.11286	0.435784	2.14046	0.470222	2.41154	0.492026	2.1077	0.471478		2.148496	0.4721654		ross
VWA2-1	1531	1211	0	0		1.52436	0.502994	3.5518	0.47163	3.31358	0.368426	3.2786	0.367508	3.54014	0.458766		3.041696	0.4338648		ross
ZBTB48-1	5	6	4.0733	0		2.47875	0.383998	2.51538	0.410667	2.4247	0.440618	2.03758	0.425236	2.6668	0.394126		2.424642	0.410929		ross
ZNF295-1	9	6	1.33163	1.18139		4.10763	0.110377	4.33961	0.282362	4.14526	0.246903	4.5469	0.244586	5.52961	0.239933		4.533802	0.2248322		ross
ZNF410-1	6	18	4.11916	5.34985		1.82464	0.45251	2.29215	0.407137	2.18701	0.526952	2.54865	0.516506	2.57316	0.392463		2.285122	0.4591136		ross
ZNF462-1	8	0	4.05558	3.62762		8.06953	0.302731	8.27804	0.290642	8.18354	0.333097	8.14846	0.330026	9.49124	0.259941		8.434162	0.3032874		ross
NACAD-1	10	7	0.304663	0.0571597		2.98077	0.294573	3.9759	0.544646	3.26436	0.440487	3.49362	0.439551	3.94932	0.554912		3.532794	0.4548338		ross
